lemma_,count,pos,lemma,freq,number_of_meanings,pos_fr,etymology,age
salon@NOUN,31950,NOUN,salon,6.085083187248643e-05,6.0,substantif,1550.0,470.0
humoriste@NOUN,2731,NOUN,humoriste,5.201365315923644e-06,2.0,substantif,1578.0,442.0
caricaturiste@NOUN,983,NOUN,caricaturiste,1.872186783432055e-06,1.0,substantif,1803.0,217.0
dessinateur@NOUN,9436,NOUN,dessinateur,1.7971469469445444e-05,2.0,substantif,1667.0,353.0
humoristique@ADJ,5340,ADJ,humoristique,1.0170373777748906e-05,1.0,adjectif,1801.0,219.0
organiser@VERB,107773,VERB,organiser,0.0002052606166946316,4.0,verbe,1510.0,510.0
humoriste@ADJ,185,ADJ,humoriste,3.5234440990328604e-07,2.0,adjectif,1578.0,442.0
comité@NOUN,70991,NOUN,comité,0.0001352069297483469,2.0,substantif,1652.0,368.0
mondial@ADJ,168240,ADJ,mondial,0.0003204239109304262,1.0,adjectif,1550.0,470.0
gus@NOUN,341,NOUN,gus,6.494564528487597e-07,1.0,substantif,1954.0,66.0
édition@NOUN,117755,NOUN,édition,0.00022427197831438622,2.0,substantif,1550.0,470.0
débuter@VERB,24321,VERB,débuter,4.6320910233826054e-05,3.0,verbe,1547.0,473.0
clan@NOUN,16609,NOUN,clan,3.163290975180367e-05,3.0,substantif,1750.0,270.0
marginaliser@VERB,1162,VERB,marginaliser,2.2131038070682073e-06,2.0,verbe,1964.0,56.0
plan@NOUN,122133,NOUN,plan,0.00023261016116063801,1.0,substantif,1553.0,467.0
gouvernemental@ADJ,13421,ADJ,gouvernemental,2.556115851520001e-05,2.0,adjectif,1801.0,219.0
confessionnel@ADJ,979,ADJ,confessionnel,1.8645685259206327e-06,1.0,adjectif,1863.0,157.0
sectarisme@NOUN,231,NOUN,sectarisme,4.3995437128464367e-07,1.0,substantif,1891.0,129.0
sunnite@NOUN,889,NOUN,sunnite,1.6931577319136286e-06,2.0,substantif,1653.0,367.0
